A_CLAU_UNICA_VF,A_ID_VF,A_EMPRESA_VF,A_NUM_FACTURA_VF,A_FECHA_FACTURA_VF,A_ORIGEN_VF,A_IMPORTE_VF,A_ACUMULADO_VF,A_CLIENT_VF,A_PAGADA_VF,A_ENVIADA_VF
"6265-C-V/00025, C-V/00026",22,ADG32 6265 SMORENO SL,FV-1/2025/00022,10/12/2025,"C-V/00025, C-V/00026","7256,37","101792,51",BIGCORP SL,Publicado,No enviado
"6265-C-V/00028, C-V/00029, C-V/00030",23,ADG32 6265 SMORENO SL,FV-1/2025/00023,18/12/2025,"C-V/00028, C-V/00029, C-V/00030","10577,82","112370,33",BIGCORP SL,Publicado,No enviado
6320-C-V/00001,1,ADG32 6320 MNAVARRO SL,FV-1/2025/00001,22/10/2025,C-V/00001,"3550,14","3550,14",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00002,2,ADG32 6320 MNAVARRO SL,FV-1/2025/00002,22/10/2025,C-V/00002,"3807,87","7358,01",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00003,3,ADG32 6320 MNAVARRO SL,FV-1/2025/00003,22/10/2025,C-V/00003,"3212,55","10570,56",BIGCORP SL,Pagada,No enviado
6320-C-V/00004,4,ADG32 6320 MNAVARRO SL,FV-1/2025/00004,22/10/2025,C-V/00004,"3481,17","14051,73",BIGCORP SL,Pagada,No enviado
6320-C-V/00005,5,ADG32 6320 MNAVARRO SL,FV-1/2025/00005,29/10/2025,C-V/00005,"4069,23","18120,96",BIGCORP SL,Pagada,No enviado
6320-C-V/00006,6,ADG32 6320 MNAVARRO SL,FV-1/2025/00006,29/10/2025,C-V/00006,"4519,35","22640,31",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00007,7,ADG32 6320 MNAVARRO SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4787,97","27428,28",BIGCORP SL,Pagada,No enviado
6320-C-V/00010,8,ADG32 6320 MNAVARRO SL,FV-1/2025/00008,05/11/2025,C-V/00010,"4127,31","31555,59",BIGCORP SL,Pagada,No enviado
6320-C-V/00011,9,ADG32 6320 MNAVARRO SL,FV-1/2025/00009,05/11/2025,C-V/00011,"3346,86","34902,45",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00012,10,ADG32 6320 MNAVARRO SL,FV-1/2025/00010,05/11/2025,C-V/00012,"4439,49","39341,94",BIGCORP SL,Pagada,No enviado
6320-C-V/00013,11,ADG32 6320 MNAVARRO SL,FV-1/2025/00011,12/11/2025,C-V/00013,"3931,29","43273,23",BIGCORP SL,Pagada,No enviado
6320-C-V/00016,12,ADG32 6320 MNAVARRO SL,FV-1/2025/00012,14/11/2025,C-V/00016,"3651,78","46925,01",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00017,13,ADG32 6320 MNAVARRO SL,FV-1/2025/00013,14/11/2025,C-V/00017,"4112,79","51037,80",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00018,14,ADG32 6320 MNAVARRO SL,FV-1/2025/00014,20/11/2025,C-V/00018,"4370,52","55408,32",BIGCORP SL,Pagada,No enviado
6320-C-V/00019,15,ADG32 6320 MNAVARRO SL,FV-1/2025/00015,20/11/2025,C-V/00019,"3844,17","59252,49",BIGCORP SL,Pagada,No enviado
6320-C-V/00020,16,ADG32 6320 MNAVARRO SL,FV-1/2025/00016,20/11/2025,C-V/00020,"4617,36","63869,85",COMERCIAL CALCO SA,Pagada,No enviado
6320-C-V/00021,17,ADG32 6320 MNAVARRO SL,FV-1/2025/00017,26/11/2025,C-V/00021,"4479,42","68349,27",COMERCIAL CALCO SA,Publicado,No enviado
"6320-C-V/00022, C-V/00024",18,ADG32 6320 MNAVARRO SL,FV-1/2025/00018,26/11/2025,"C-V/00022, C-V/00024","9405,33","77754,60",BIGCORP SL,Publicado,No enviado
"6320-C-V/00025, C-V/00027, C-V/00026",19,ADG32 6320 MNAVARRO SL,FV-1/2025/00019,03/12/2025,"C-V/00025, C-V/00027, C-V/00026","12479,94","90234,54",COMERCIAL CALCO SA,Publicado,No enviado
"6320-C-V/00029, C-V/00028",20,ADG32 6320 MNAVARRO SL,FV-1/2025/00021,10/12/2025,"C-V/00029, C-V/00028","8632,14","98866,68",BIGCORP SL,Publicado,No enviado
6320-C-V/00030,21,ADG32 6320 MNAVARRO SL,FV-1/2025/00020,10/12/2025,C-V/00030,"4417,71","103284,39",COMERCIAL CALCO SA,Publicado,No enviado
6320-C-V/00032,22,ADG32 6320 MNAVARRO SL,FV-1/2025/00022,18/12/2025,C-V/00032,"3822,39","107106,78",COMERCIAL CALCO SA,Publicado,No enviado
"6320-C-V/00033, C-V/00034",23,ADG32 6320 MNAVARRO SL,FV-1/2025/00023,18/12/2025,"C-V/00033, C-V/00034","7873,47","114980,25",BIGCORP SL,Publicado,No enviado
6352-C-V/00001,1,ADG32 6352 SAANANOU SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3484,80","3484,80",BIGCORP SL,Pagada,No enviado
6352-C-V/00002,2,ADG32 6352 SAANANOU SL,FV-1/2025/00002,23/10/2025,C-V/00002,"4272,51","7757,31",BIGCORP SL,Pagada,No enviado
6352-C-V/00003,3,ADG32 6352 SAANANOU SL,FV-1/2025/00003,23/10/2025,C-V/00003,"3749,79","11507,10",COMERCIAL CALCO SA,Pagada,No enviado
6352-C-V/00004,4,ADG32 6352 SAANANOU SL,FV-1/2025/00004,23/10/2025,C-V/00004,"3500,23","15007,33",COMERCIAL CALCO SA,Pagada,No enviado
6352-C-V/00005,5,ADG32 6352 SAANANOU SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3511,12","18518,45",BIGCORP SL,Pagada,No enviado
6352-C-V/00006,6,ADG32 6352 SAANANOU SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3802,43","22320,88",BIGCORP SL,Pagada,No enviado
6352-C-V/00007,7,ADG32 6352 SAANANOU SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4483,05","26803,93",BIGCORP SL,Pagada,No enviado
6352-C-V/00010,8,ADG32 6352 SAANANOU SL,FV-1/2025/00008,05/11/2025,C-V/00010,"4070,14","30874,07",COMERCIAL CALCO SA,Pagada,No enviado
6352-C-V/00011,9,ADG32 6352 SAANANOU SL,FV-1/2025/00009,07/11/2025,C-V/00011,"3223,44","34097,51",BIGCORP SL,Pagada,No enviado
6352-C-V/00012,10,ADG32 6352 SAANANOU SL,FV-1/2025/00010,07/11/2025,C-V/00012,"4571,08","38668,59",BIGCORP SL,Pagada,No enviado
6352-C-V/00013,11,ADG32 6352 SAANANOU SL,FV-1/2025/00011,12/11/2025,C-V/00013,"3247,94","41916,53",BIGCORP SL,Pagada,No enviado
6352-C-V/00014,12,ADG32 6352 SAANANOU SL,FV-1/2025/00012,12/11/2025,C-V/00014,"4012,06","45928,59",BIGCORP SL,Pagada,No enviado
6352-C-V/00015,13,ADG32 6352 SAANANOU SL,FV-1/2025/00013,12/11/2025,C-V/00015,"3919,49","49848,08",BIGCORP SL,Pagada,No enviado
6352-C-V/00016,14,ADG32 6352 SAANANOU SL,FV-1/2025/00014,20/11/2025,C-V/00016,"3459,39","53307,47",COMERCIAL CALCO SA,Pagada,No enviado
6352-C-V/00017,15,ADG32 6352 SAANANOU SL,FV-1/2025/00015,20/11/2025,C-V/00017,"3796,98","57104,45",BIGCORP SL,Pagada,No enviado
6352-C-V/00018,16,ADG32 6352 SAANANOU SL,FV-1/2025/00016,20/11/2025,C-V/00018,"4290,66","61395,11",BIGCORP SL,Pagada,No enviado
6352-C-V/00019,17,ADG32 6352 SAANANOU SL,FV-1/2025/00017,27/11/2025,C-V/00019,"4649,12","66044,23",COMERCIAL CALCO SA,Pagada,No enviado
6352-C-V/00020,18,ADG32 6352 SAANANOU SL,FV-1/2025/00018,27/11/2025,C-V/00020,"4759,84","70804,07",BIGCORP SL,Pagada,No enviado
6352-C-V/00021,19,ADG32 6352 SAANANOU SL,FV-1/2025/00019,27/11/2025,C-V/00021,"4187,21","74991,28",COMERCIAL CALCO SA,Pagada,No enviado
"6352-C-V/00023, C-V/00022",20,ADG32 6352 SAANANOU SL,FV-1/2025/00021,03/12/2025,"C-V/00023, C-V/00022","8311,79","83303,07",COMERCIAL CALCO SA,Publicado,No enviado
6352-C-V/00024,21,ADG32 6352 SAANANOU SL,FV-1/2025/00020,03/12/2025,C-V/00024,"3541,07","86844,14",BIGCORP SL,Publicado,No enviado
6352-C-V/00025,22,ADG32 6352 SAANANOU SL,FV-1/2025/00022,10/12/2025,C-V/00025,"4601,93","91446,07",COMERCIAL CALCO SA,Publicado,No enviado
"6352-C-V/00027, C-V/00026",23,ADG32 6352 SAANANOU SL,FV-1/2025/00023,10/12/2025,"C-V/00027, C-V/00026","7955,15","99401,22",BIGCORP SL,Publicado,No enviado
6352-C-V/00028,24,ADG32 6352 SAANANOU SL,FV-2/2025/00001,28/12/2025,C-V/00028,"475,53","99876,75",ADG53 4751 APONS SL,Publicado,No enviado
6352-C-V/00030,25,ADG32 6352 SAANANOU SL,FV-1/2025/00025,28/12/2025,C-V/00030,"3388,61","103265,36",COMERCIAL CALCO SA,Publicado,No enviado
"6352-C-V/00031, C-V/00029",26,ADG32 6352 SAANANOU SL,FV-1/2025/00024,28/12/2025,"C-V/00031, C-V/00029","7207,37","110472,73",BIGCORP SL,Publicado,No enviado
6356-C-V/00001,1,ADG32 6356 WAANANOU SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4428,60","4428,60",BIGCORP SL,Pagada,No enviado
6356-C-V/00003,2,ADG32 6356 WAANANOU SL,FV-1/2025/00002,24/10/2025,C-V/00003,"3798,80","8227,40",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00004,3,ADG32 6356 WAANANOU SL,FV-1/2025/00003,24/10/2025,C-V/00004,"3905,88","12133,28",BIGCORP SL,Pagada,No enviado
6356-C-V/00005,4,ADG32 6356 WAANANOU SL,FV-1/2025/00004,24/10/2025,C-V/00005,"4702,67","16835,95",BIGCORP SL,Pagada,No enviado
6356-C-V/00007,5,ADG32 6356 WAANANOU SL,FV-1/2025/00005,29/10/2025,C-V/00007,"3417,65","20253,60",BIGCORP SL,Pagada,No enviado
6356-C-V/00008,6,ADG32 6356 WAANANOU SL,FV-1/2025/00006,29/10/2025,C-V/00008,"3586,44","23840,04",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00009,7,ADG32 6356 WAANANOU SL,FV-1/2025/00007,29/10/2025,C-V/00009,"3791,54","27631,58",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00010,8,ADG32 6356 WAANANOU SL,FV-1/2025/00008,06/11/2025,C-V/00010,"4768,01","32399,59",BIGCORP SL,Pagada,No enviado
6356-C-V/00011,9,ADG32 6356 WAANANOU SL,FV-1/2025/00009,06/11/2025,C-V/00011,"3744,35","36143,94",BIGCORP SL,Pagada,No enviado
6356-C-V/00012,10,ADG32 6356 WAANANOU SL,FV-1/2025/00010,06/11/2025,C-V/00012,"4011,15","40155,09",BIGCORP SL,Pagada,No enviado
6356-C-V/00013,11,ADG32 6356 WAANANOU SL,FV-1/2025/00011,14/11/2025,C-V/00013,"4310,63","44465,72",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00014,12,ADG32 6356 WAANANOU SL,FV-1/2025/00012,14/11/2025,C-V/00014,"3884,10","48349,82",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00015,13,ADG32 6356 WAANANOU SL,FV-1/2025/00013,14/11/2025,C-V/00015,"4472,16","52821,98",BIGCORP SL,Pagada,No enviado
6356-C-V/00016,14,ADG32 6356 WAANANOU SL,FV-1/2025/00014,21/11/2025,C-V/00016,"3384,98","56206,96",COMERCIAL CALCO SA,Publicado,No enviado
6356-C-V/00017,15,ADG32 6356 WAANANOU SL,FV-1/2025/00015,21/11/2025,C-V/00017,"4601,03","60807,99",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00018,16,ADG32 6356 WAANANOU SL,FV-1/2025/00016,21/11/2025,C-V/00018,"3864,14","64672,13",COMERCIAL CALCO SA,Pagada,No enviado
6356-C-V/00019,17,ADG32 6356 WAANANOU SL,FV-1/2025/00017,26/11/2025,C-V/00019,"3885,92","68558,05",BIGCORP SL,Publicado,No enviado
6356-C-V/00020,18,ADG32 6356 WAANANOU SL,FV-1/2025/00018,26/11/2025,C-V/00020,"3780,65","72338,70",BIGCORP SL,Publicado,No enviado
6356-C-V/00021,19,ADG32 6356 WAANANOU SL,FV-1/2025/00019,26/11/2025,C-V/00021,"3789,72","76128,42",BIGCORP SL,Publicado,No enviado
6356-C-V/00022,20,ADG32 6356 WAANANOU SL,FV-1/2025/00020,03/12/2025,C-V/00022,"4341,48","80469,90",BIGCORP SL,Publicado,No enviado
"6356-C-V/00023, C-V/00024",21,ADG32 6356 WAANANOU SL,FV-1/2025/00021,03/12/2025,"C-V/00023, C-V/00024","8514,17","88984,07",COMERCIAL CALCO SA,Publicado,No enviado
6356-C-V/00026,22,ADG32 6356 WAANANOU SL,FV-1/2025/00022,11/12/2025,C-V/00026,"4254,36","93238,43",BIGCORP SL,Publicado,No enviado
"6356-C-V/00027, C-V/00025",23,ADG32 6356 WAANANOU SL,FV-1/2025/00023,11/12/2025,"C-V/00027, C-V/00025","7653,86","100892,29",COMERCIAL CALCO SA,Publicado,No enviado
6356-C-V/00028,24,ADG32 6356 WAANANOU SL,FV-1/2025/00026,30/12/2025,C-V/00028,"473,72","101366,01",ADG53 4751 APONS SL,Publicado,No enviado
"6356-C-V/00030, C-V/00029",25,ADG32 6356 WAANANOU SL,FV-1/2025/00024,18/12/2025,"C-V/00030, C-V/00029","8632,14","109998,15",COMERCIAL CALCO SA,Publicado,No enviado
6356-C-V/00031,26,ADG32 6356 WAANANOU SL,FV-1/2025/00025,18/12/2025,C-V/00031,"4357,82","114355,97",BIGCORP SL,Publicado,No enviado
6366-C-V/00001,1,ADG32 6366 JMORAGUES SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3631,82","3631,82",BIGCORP SL,Pagada,No enviado
6366-C-V/00003,2,ADG32 6366 JMORAGUES SL,FV-1/2025/00002,22/10/2025,C-V/00003,"3982,11","7613,93",BIGCORP SL,Pagada,No enviado
6366-C-V/00004,3,ADG32 6366 JMORAGUES SL,FV-1/2025/00003,22/10/2025,C-V/00004,"3760,68","11374,61",BIGCORP SL,Pagada,No enviado
6366-C-V/00005,4,ADG32 6366 JMORAGUES SL,FV-1/2025/00004,22/10/2025,C-V/00005,"4239,84","15614,45",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00007,5,ADG32 6366 JMORAGUES SL,FV-1/2025/00005,29/10/2025,C-V/00007,"3869,58","19484,03",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00008,6,ADG32 6366 JMORAGUES SL,FV-1/2025/00006,29/10/2025,C-V/00008,"3334,16","22818,19",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00009,7,ADG32 6366 JMORAGUES SL,FV-1/2025/00007,29/10/2025,C-V/00009,"3561,03","26379,22",BIGCORP SL,Pagada,No enviado
6366-C-V/00010,8,ADG32 6366 JMORAGUES SL,FV-1/2025/00008,05/11/2025,C-V/00010,"4789,79","31169,01",BIGCORP SL,Pagada,No enviado
6366-C-V/00011,9,ADG32 6366 JMORAGUES SL,FV-1/2025/00009,05/11/2025,C-V/00011,"4657,29","35826,30",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00012,10,ADG32 6366 JMORAGUES SL,FV-1/2025/00010,05/11/2025,C-V/00012,"4642,77","40469,07",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00013,11,ADG32 6366 JMORAGUES SL,FV-1/2025/00011,12/11/2025,C-V/00013,"4744,41","45213,48",BIGCORP SL,Pagada,No enviado
6366-C-V/00014,12,ADG32 6366 JMORAGUES SL,FV-1/2025/00012,12/11/2025,C-V/00014,"4076,49","49289,97",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00015,13,ADG32 6366 JMORAGUES SL,FV-1/2025/00013,12/11/2025,C-V/00015,"3615,48","52905,45",BIGCORP SL,Pagada,No enviado
6366-C-V/00016,14,ADG32 6366 JMORAGUES SL,FV-1/2025/00014,19/11/2025,C-V/00016,"3463,02","56368,47",BIGCORP SL,Pagada,No enviado
6366-C-V/00017,15,ADG32 6366 JMORAGUES SL,FV-1/2025/00015,19/11/2025,C-V/00017,"3713,49","60081,96",COMERCIAL CALCO SA,Pagada,No enviado
6366-C-V/00018,16,ADG32 6366 JMORAGUES SL,FV-1/2025/00016,19/11/2025,C-V/00018,"3441,24","63523,20",BIGCORP SL,Pagada,No enviado
6366-C-V/00019,17,ADG32 6366 JMORAGUES SL,FV-1/2025/00017,26/11/2025,C-V/00019,"3793,35","67316,55",COMERCIAL CALCO SA,Publicado,No enviado
"6366-C-V/00020, C-V/00021",18,ADG32 6366 JMORAGUES SL,FV-1/2025/00018,26/11/2025,"C-V/00020, C-V/00021","8394,38","75710,93",BIGCORP SL,Publicado,No enviado
"6366-C-V/00022, C-V/00024",19,ADG32 6366 JMORAGUES SL,FV-1/2025/00020,03/12/2025,"C-V/00022, C-V/00024","8136,65","83847,58",BIGCORP SL,Publicado,No enviado
6366-C-V/00023,20,ADG32 6366 JMORAGUES SL,FV-1/2025/00019,03/12/2025,C-V/00023,"3746,16","87593,74",COMERCIAL CALCO SA,Publicado,No enviado
6366-C-V/00026,21,ADG32 6366 JMORAGUES SL,FV-1/2025/00021,10/12/2025,C-V/00026,"3675,38","91269,12",BIGCORP SL,Publicado,No enviado
"6366-C-V/00027, C-V/00025",22,ADG32 6366 JMORAGUES SL,FV-1/2025/00022,10/12/2025,"C-V/00027, C-V/00025","7846,25","99115,37",COMERCIAL CALCO SA,Publicado,No enviado
6366-C-V/00031,23,ADG32 6366 JMORAGUES SL,FV-1/2025/00023,18/12/2025,C-V/00031,"4005,71","103121,08",COMERCIAL CALCO SA,Publicado,No enviado
"6366-C-V/00032, C-V/00030",24,ADG32 6366 JMORAGUES SL,FV-1/2025/00024,18/12/2025,"C-V/00032, C-V/00030","6706,43","109827,51",BIGCORP SL,Publicado,No enviado
6368-C-V/00001,1,ADG32 6368 LPIZA SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4679,07","4679,07",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00002,2,ADG32 6368 LPIZA SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3582,81","8261,88",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00003,3,ADG32 6368 LPIZA SL,FV-1/2025/00003,24/10/2025,C-V/00003,"3198,03","11459,91",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00004,4,ADG32 6368 LPIZA SL,FV-1/2025/00004,24/10/2025,C-V/00004,"3198,03","14657,94",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00005,5,ADG32 6368 LPIZA SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3713,49","18371,43",BIGCORP SL,Pagada,No enviado
6368-C-V/00006,6,ADG32 6368 LPIZA SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3811,50","22182,93",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00007,7,ADG32 6368 LPIZA SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4268,88","26451,81",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00008,8,ADG32 6368 LPIZA SL,FV-1/2025/00008,05/11/2025,C-V/00008,"3354,12","29805,93",BIGCORP SL,Pagada,No enviado
